uniq_id,crawl_timestamp,pageurl,name,hotel_id,area,city,address,lat,long,amenities,hotel_star_rating,hotel_type,review_count,average_rating,photo_count,cleanliness,facilities,location,staff,wifi,comfort,value_for_money,extra_adult_rate,extra_child_rate
b0b7e084a8ef0dd33df3736d86d0704b,2020-03-03 12:59:30 +0000,https://www.booking.com/hotel/in/silverkey-executive-stays-61381-blue-executive-saki-naka.en-gb.html,SilverKey Executive Stays 61381 Blue Executive Saki Naka,6006639,"Saki Vihar Complex, Off Saki Vihar Road, Saki Naka, Ansa Industrial Estate, Chandivali",Mumbai,"Saki Vihar Complex, Off Saki Vihar Road, Saki Naka, Ansa Industrial Estate, Chandivali, Powai, 400072 Mumbai, India",19.10797775,72.88941152,24-hour front desk|Daily housekeeping|Pets|Pets are not allowed.|Internet|No internet access available.|Parking|No parking available.|Services|Daily housekeeping|24-hour front desk,3-star hotel,Hotels,,,26,,,,,,,,,
b02b8a4244f304f7df0344a86d585d79,2020-01-03 10:30:02 +0000,https://www.booking.com/hotel/in/oyo-flagship-29530-payal-mumbai12.en-gb.html,OYO Flagship 29530 Payal Hotel,4782951,"OYO 29530 Payal Hotel, Plot No 143, MCCH Society, Panvel",Mumbai,"OYO 29530 Payal Hotel, Plot No 143, MCCH Society, Panvel, 410216 Mumbai, India",18.98771923,73.11499368,Free WiFi|Family rooms|Free parking|Room service|24-hour front desk|Bar|Pets|Pets are not allowed.|Food &amp; Drink|Bar|Internet|Free!|WiFi is available in all areas and is free of charge.|Parking|Free!|Free private parking is possible on site (reservation is not needed).|Secured parking|Services|Daily housekeeping|Laundry|Additional charge|24-hour front desk|Meeting/banquet facilities|Room service|General|Air conditioning|Family rooms|Languages spoken|English|Hindi, 3-star hotel ,Hotels,,,34,,,,,,,,,
17092226862730fe7530622686a891c7,2020-01-03 12:10:28 +0000,https://www.booking.com/hotel/in/floressa-twigs.en-gb.html,Floressa Twigs,4957204,"No.3/148, Kumaran Kudil, 3rd Cross Street, Thoraipakkam",Chennai,"No.3/148, Kumaran Kudil, 3rd Cross Street, Thoraipakkam, Thoraipakkam, 600097 Chennai, India",12.94117000,80.24104700,Free WiFi|Free parking|Non-smoking rooms|Parking|Free!|Free private parking is possible on site (reservation is not needed).|Internet|Free!|WiFi is available in the hotel rooms and is free of charge.|Kitchen|Children's high chair|Cleaning products|Electric kettle|Refrigerator|Bedroom|Wardrobe or closet|Bathroom|Towels|Slippers|Free toiletries|Hairdryer|Shower|Toilet paper|Linen|Bath or Shower|Private bathroom|Toilet|Living Area|Seating Area|Media &amp; Technology|Flat-screen TV|Cable Channels|Satellite Channels|Telephone|TV|Room Amenities|Clothes rack|Pets|Pets are not allowed.|Accessibility|Upper floors accessible by stairs only|Entire unit located on ground floor|Outdoors|Terrace|Garden|General|Fan|Air conditioning|Tile/Marble floor|Laptop safe|Ironing Facilities|Non-smoking rooms|Safety Deposit Box|Food &amp; Drink|Bottle of water|Tea/Coffee Maker|Services|Wake-up service|Wake Up Service/Alarm Clock|View|Garden view|Entertainment and family services|Child safety socket covers|Languages spoken|English|Tamil,,Bed and breakfasts,3,,9,,,,,,,,,
f80c24c7513266bb3b6a5a8491b8a5bb,2020-02-03 08:48:38 +0000,https://www.booking.com/hotel/in/aiwan-e-shahi.en-gb.html,Hotel Aiwan-e-Shahi,1970614,1061-Paiwalan Dariba Near Gate No. 3 Jama Masjid,Delhi,"1061-Paiwalan Dariba Near Gate No. 3 Jama Masjid, 110006 New Delhi, India",28.65171787,77.23273152,Free WiFi|Airport shuttle|Family rooms|Free parking|Restaurant|Non-smoking rooms|Outdoors|Outdoor furniture|Terrace|Pets|Pets are not allowed.|Activities|Live sport events (broadcast)|Tour or class about local culture|Additional charge|Walking tours|Additional charge|Cycling|Bicycle rental (additional charge)|Food &amp; Drink|On-site coffee house|Fruits|Additional charge|Bottle of water|Additional charge|Special diet menus (on request)|Snack bar|Breakfast in the room|Restaurant|Internet|Free!|WiFi is available in all areas and is free of charge.|Parking|Free!|Free private parking is possible on site (reservation is needed).|Accessible parking|Street parking|Secured parking|Transport|Airport drop off|Additional charge|Airport pick up|Additional charge|Public transport tickets|Additional charge|Reception services|Lockers|Private check-in/check-out|ATM/cash machine on site|Luggage storage|Ticket service|Tour desk|Currency exchange|Express check-in/check-out|24-hour front desk|Cleaning services|Daily housekeeping|Trouser press|Additional charge|Ironing service|Additional charge|Dry cleaning|Additional charge|Laundry|Additional charge|Business facilities|Fax/photocopying|Additional charge|Safety &amp; security|Fire extinguishers|CCTV outside property|CCTV in common areas|Security alarm|24-hour security|Safety deposit box|General|Shuttle service|Grocery deliveries|Additional charge|Shared lounge/TV area|Airport shuttle (additional charge)|Shuttle service (additional charge)|Designated smoking area|Air conditioning|Shops (on site)|Heating|Car hire|Packed lunches|Soundproof rooms|Gift shop|Lift|Family rooms|Non-smoking rooms|Newspapers|Room service|Languages spoken|English|Hindi,3-star hotel,Hotels,422,7.4,46,7.2,7.1,8,7.4,8,7.4,7.1,,
eb5d329a6d59940724c56678cf29a978,2020-03-03 14:33:42 +0000,https://www.booking.com/hotel/in/oyo-63554-rajshree-guest-house.en-gb.html,OYO 63554 Rajshree Guest House,6043677,Gautam Nagar,Bhopal,"Gautam Nagar, 462023 Bhopal, India",23.23963600,77.43975600,Pets|Pets are not allowed.|Internet|No internet access available.|Parking|Parking options available|Accessible parking|Services|Daily housekeeping|24-hour front desk,3-star hotel,Hotels,,,24,,,,,,,,,
65870dffd590610aac525252dc3b3c2f,2020-01-03 14:30:30 +0000,https://www.booking.com/hotel/in/oyo-37482-shree-roop-ganga-resorts-indore12345678.en-gb.html,OYO 37482 Shree Roop Ganga Hotel & Resorts,4971261,"00, mr10, Bhangarh road",Indore,"00, mr10, Bhangarh road, 453555 Indore, India",22.77677000,75.87446100,Room service|Pets|Pets are not allowed.|Internet|No internet access available.|Parking|Parking options available|Secured parking|Services|Meeting/banquet facilities|Room service|General|Air conditioning|Languages spoken|English|Hindi, 3-star hotel ,Hotels,,,27,,,,,,,,,
cbccae1bff343352330383a06a163d46,2020-01-03 09:29:47 +0000,https://www.booking.com/hotel/in/sai-vishram-business.en-gb.html,Sai Vishram Business Hotel,2493309,"144 - C/1, Kirloskar road, Bommasandra Industrial Estate, Hebbagodi",Bengaluru,"144 - C/1, Kirloskar road, Bommasandra Industrial Estate, Hebbagodi, 560099 Bangalore, India",12.82442046,77.68172577,Free WiFi|Airport shuttle|Swimming pool|Family rooms|Free parking|Fitness centre|Pets|Pets are not allowed.|Food &amp; Drink|On-site coffee house|Bottle of water|Breakfast in the room|Restaurant|Internet|Free!|WiFi is available in all areas and is free of charge.|Parking|Free!|Free private parking is possible on site (reservation is needed).|Secured parking|Transport|Airport drop off|Additional charge|Airport pick up|Additional charge|Pool and wellness|Swimming pool|Outdoor pool|Spa and wellness centre|Additional charge|Fitness centre|Reception services|Luggage storage|24-hour front desk|Cleaning services|Ironing service|Additional charge|Laundry|Additional charge|Business facilities|Fax/photocopying|Additional charge|General|Airport shuttle (additional charge)|Air conditioning|Non-smoking throughout|Car hire|Packed lunches|Lift|Family rooms|Non-smoking rooms|Room service, 4-star hotel ,Hotels,47,7.4,45,7.6,7.2,7.3,7.4,6.9,7.6,7,,
32ae3544f1e4c3e45543fe851e1850ce,2020-03-03 13:45:30 +0000,https://www.booking.com/hotel/in/spot-on-63708-motel-himalaya.en-gb.html,SPOT ON 63708 Motel Himalaya,5760807,"24 , Govind Nagar , Near Pani Tanki , Naya Gaon",Chandigarh,"24 , Govind Nagar , Near Pani Tanki , Naya Gaon, 160103 Chandīgarh, India",30.77519400,76.79711100,Family rooms|Room service|24-hour front desk|Pets|Pets are not allowed.|Internet|No internet access available.|Parking|No parking available.|Services|Daily housekeeping|24-hour front desk|Room service|General|Air conditioning|Family rooms,3-star hotel,Hotels,1,,27,,,,,,,,,
4fd825e64927f4a0765e02ca23f6e626,2020-03-03 14:17:06 +0000,https://www.booking.com/hotel/in/shail-shikhar.en-gb.html,Shail Shikhar,5156214,Spring Road Next to ITBP gate.,Mussoorie,"Spring Road Next to ITBP gate., 248179 Mussoorie, India",30.45991000,78.06639800,Family rooms|Free WiFi|Pets allowed|Outdoors|Terrace|Garden|Pets|Pets are allowed on request. Charges may be applicable.|Internet|Free!|WiFi is available in the business centre and is free of charge.|Parking|No parking available.|General|Family rooms|Languages spoken|English|Hindi,,Homestays,5,9.3,10,0,0,8.5,0,,0,0,,
12bb0db30e93a721895db14df11d24eb,2020-02-03 09:27:18 +0000,https://www.booking.com/hotel/in/backwater-facing-villa.en-gb.html,German Courtyard Backwater Facing Villa,5295129,"German Courtyard, No 20, Thevara, Near Ferry, Kochi, Kerala",Kochi,"German Courtyard, No 20, Thevara, Near Ferry, Kochi, Kerala, Ernakulam, 602013 Cochin, India",9.92402001,76.30212402,Parking|No parking available.|Internet|No internet access available.|Kitchen|Freedom to eat when you want|Kitchenware|Microwave|Refrigerator|Bathroom|Towels|Private bathroom|Shared bathroom|Living Area|Space for everyone to be together|Sofa|Seating Area|Media &amp; Technology|Fun for everyone under one roof|Flat-screen TV|Room Amenities|Extra comfort|Fan|Iron|Trash cans|Sofa bed|Drying rack for clothing|Fold-up bed|Clothes rack|Pets|Pets are not allowed.|Outdoors|Sit back and relax|Terrace|Food &amp; Drink|Tea/Coffee Maker|Outdoor &amp; View|Enjoy the view|Lake view|View|Miscellaneous|Air conditioning|Heating,,Villas,4,9.3,,0,0,9.4,8.8,,0,0,,
